x;y;z;Label;adl;feature_1;feature_2;feature_3
22;49;35;1;brush_teeth;16.0;45.0;32.0
22;49;35;1;brush_teeth;18.0;47.0;33.0
22;52;35;1;brush_teeth;18.0;47.0;33.0
22;52;35;1;brush_teeth;18.0;47.0;33.0
21;52;34;1;brush_teeth;19.0;47.0;33.0
22;51;34;1;brush_teeth;19.0;47.0;33.0
20;50;35;1;brush_teeth;19.0;47.0;33.0
22;52;34;1;brush_teeth;19.0;47.0;33.0
22;50;34;1;brush_teeth;19.0;48.0;34.0
22;51;35;1;brush_teeth;19.0;48.0;34.0
21;51;33;1;brush_teeth;19.0;48.0;34.0
20;50;34;1;brush_teeth;19.0;48.0;34.0
21;49;33;1;brush_teeth;20.0;48.0;34.0
21;49;33;1;brush_teeth;20.0;49.0;34.0
20;51;35;1;brush_teeth;20.0;49.0;34.0
18;49;34;1;brush_teeth;20.0;49.0;34.0
19;48;34;1;brush_teeth;20.0;49.0;34.0
16;53;34;1;brush_teeth;20.0;49.0;34.0
18;52;35;1;brush_teeth;20.0;49.0;34.0
18;51;32;1;brush_teeth;20.0;49.0;34.0
19;50;33;1;brush_teeth;20.0;49.0;34.0
19;53;33;1;brush_teeth;20.0;49.0;34.0
21;50;33;1;brush_teeth;20.0;49.0;35.0
21;51;33;1;brush_teeth;20.0;49.0;35.0
24;51;34;1;brush_teeth;20.0;49.0;35.0
25;50;35;1;brush_teeth;20.0;49.0;35.0
25;51;36;1;brush_teeth;20.0;49.0;35.0
25;50;38;1;brush_teeth;20.0;49.0;35.0
25;51;39;1;brush_teeth;20.0;49.0;35.0
26;49;40;1;brush_teeth;21.0;49.0;35.0
25;49;41;1;brush_teeth;21.0;49.0;35.0
25;47;42;1;brush_teeth;21.0;49.0;35.0
22;45;41;1;brush_teeth;21.0;49.0;35.0
21;48;41;1;brush_teeth;21.0;49.0;35.0
21;48;43;1;brush_teeth;21.0;49.0;35.0
21;47;41;1;brush_teeth;21.0;49.0;35.0
22;47;41;1;brush_teeth;21.0;49.0;35.0
21;47;42;1;brush_teeth;21.0;49.0;35.0
22;47;42;1;brush_teeth;21.0;49.0;35.0
22;47;42;1;brush_teeth;21.0;49.0;35.0
24;48;42;1;brush_teeth;21.0;49.0;35.0
20;49;41;1;brush_teeth;21.0;49.0;35.0
22;49;40;1;brush_teeth;21.0;49.0;35.0
24;47;38;1;brush_teeth;21.0;49.0;35.0
22;49;37;1;brush_teeth;21.0;49.0;35.0
24;49;36;1;brush_teeth;21.0;49.0;35.0
24;50;36;1;brush_teeth;21.0;49.0;35.0
23;49;37;1;brush_teeth;21.0;49.0;35.0
24;50;37;1;brush_teeth;21.0;50.0;35.0
23;49;36;1;brush_teeth;21.0;50.0;35.0
23;52;36;1;brush_teeth;22.0;50.0;35.0
23;51;37;1;brush_teeth;22.0;50.0;35.0
23;50;37;1;brush_teeth;22.0;50.0;35.0
24;50;38;1;brush_teeth;22.0;50.0;35.0
21;52;37;1;brush_teeth;22.0;50.0;35.0
22;51;38;1;brush_teeth;22.0;50.0;35.0
22;52;38;1;brush_teeth;22.0;50.0;35.0
24;52;39;1;brush_teeth;22.0;50.0;35.0
23;50;39;1;brush_teeth;22.0;50.0;35.0
22;50;39;1;brush_teeth;22.0;50.0;35.0
22;53;37;1;brush_teeth;22.0;50.0;35.0
23;51;39;1;brush_teeth;22.0;50.0;35.0
23;50;39;1;brush_teeth;22.0;50.0;35.0
23;50;39;1;brush_teeth;22.0;50.0;35.0
22;50;38;1;brush_teeth;22.0;50.0;35.0
22;50;37;1;brush_teeth;22.0;50.0;35.0
23;49;38;1;brush_teeth;22.0;50.0;35.0
23;50;38;1;brush_teeth;22.0;50.0;35.0
23;49;37;1;brush_teeth;22.0;50.0;35.0
22;51;38;1;brush_teeth;22.0;50.0;35.0
22;51;38;1;brush_teeth;22.0;50.0;35.0
22;50;38;1;brush_teeth;22.0;50.0;35.0
22;49;38;1;brush_teeth;22.0;50.0;35.0
23;49;37;1;brush_teeth;22.0;50.0;35.0
22;50;37;1;brush_teeth;22.0;50.0;35.0
22;49;38;1;brush_teeth;22.0;50.0;35.0
22;49;38;1;brush_teeth;22.0;50.0;35.0
23;52;38;1;brush_teeth;22.0;50.0;35.0
23;51;39;1;brush_teeth;22.0;50.0;35.0
22;50;38;1;brush_teeth;22.0;50.0;35.0
23;49;38;1;brush_teeth;22.0;50.0;35.0
23;49;38;1;brush_teeth;22.0;50.0;35.0
22;51;38;1;brush_teeth;22.0;50.0;35.0
23;50;38;1;brush_teeth;22.0;50.0;35.0
23;50;38;1;brush_teeth;22.0;50.0;35.0
23;50;37;1;brush_teeth;22.0;50.0;35.0
22;49;38;1;brush_teeth;22.0;50.0;35.0
24;50;38;1;brush_teeth;22.0;50.0;35.0
22;51;37;1;brush_teeth;22.0;50.0;35.0
23;50;40;1;brush_teeth;22.0;50.0;35.0
23;50;38;1;brush_teeth;22.0;50.0;35.0
22;51;38;1;brush_teeth;22.0;50.0;35.0
23;50;37;1;brush_teeth;22.0;50.0;35.0
23;50;39;1;brush_teeth;22.0;50.0;35.0
22;50;38;1;brush_teeth;22.0;50.0;35.0
24;51;37;1;brush_teeth;22.0;50.0;35.0
23;49;37;1;brush_teeth;22.0;50.0;35.0
23;50;37;1;brush_teeth;22.0;50.0;35.0
22;51;37;1;brush_teeth;22.0;50.0;35.0
22;49;37;1;brush_teeth;22.0;50.0;35.0
23;49;37;1;brush_teeth;22.0;50.0;35.0
24;49;37;1;brush_teeth;22.0;50.0;35.0
22;51;38;1;brush_teeth;22.0;50.0;35.0
23;51;38;1;brush_teeth;22.0;50.0;35.0
22;51;38;1;brush_teeth;22.0;50.0;35.0
22;49;38;1;brush_teeth;22.0;50.0;35.0
20;51;38;1;brush_teeth;22.0;50.0;35.0
20;49;37;1;brush_teeth;22.0;50.0;35.0
21;50;37;1;brush_teeth;22.0;50.0;35.0
22;49;38;1;brush_teeth;23.0;50.0;35.0
23;49;37;1;brush_teeth;23.0;50.0;35.0
24;50;38;1;brush_teeth;23.0;50.0;35.0
24;50;37;1;brush_teeth;23.0;50.0;35.0
25;50;38;1;brush_teeth;23.0;50.0;35.0
25;49;37;1;brush_teeth;23.0;50.0;35.0
24;51;37;1;brush_teeth;23.0;50.0;35.0
23;50;36;1;brush_teeth;23.0;50.0;35.0
20;54;34;1;brush_teeth;23.0;50.0;35.0
21;50;34;1;brush_teeth;23.0;50.0;35.0
21;50;35;1;brush_teeth;23.0;50.0;35.0
22;51;34;1;brush_teeth;23.0;50.0;35.0
23;50;35;1;brush_teeth;23.0;50.0;35.0
23;49;35;1;brush_teeth;23.0;50.0;35.0
22;49;35;1;brush_teeth;23.0;50.0;35.0
23;50;34;1;brush_teeth;23.0;50.0;35.0
20;50;35;1;brush_teeth;23.0;50.0;35.0
20;50;35;1;brush_teeth;23.0;50.0;35.0
19;50;36;1;brush_teeth;23.0;50.0;35.0
19;50;35;1;brush_teeth;23.0;50.0;35.0
19;51;36;1;brush_teeth;23.0;50.0;35.0
21;50;36;1;brush_teeth;23.0;50.0;35.0
22;51;36;1;brush_teeth;23.0;50.0;35.0
25;52;35;1;brush_teeth;23.0;50.0;35.0
25;52;35;1;brush_teeth;23.0;50.0;35.0
26;51;34;1;brush_teeth;23.0;50.0;35.0
25;51;35;1;brush_teeth;23.0;50.0;35.0
23;51;35;1;brush_teeth;23.0;50.0;35.0
21;51;35;1;brush_teeth;23.0;50.0;35.0
