;feature_1;feature_2;feature_3;Label;gravity_1;gravity_2;gravity_3;bodymotion_1;bodymotion_2;bodymotion_3
0;22;49;35;1;16.0;45.0;32.0;-6.0;-4.0;-3.0
1;22;49;35;1;18.0;47.0;33.0;-4.0;-2.0;-2.0
2;22;52;35;1;18.0;47.0;33.0;-4.0;-5.0;-2.0
3;22;52;35;1;18.0;47.0;33.0;-4.0;-5.0;-2.0
4;21;52;34;1;19.0;47.0;33.0;-2.0;-5.0;-1.0
5;22;51;34;1;19.0;47.0;33.0;-3.0;-4.0;-1.0
6;20;50;35;1;19.0;47.0;33.0;-1.0;-3.0;-2.0
7;22;52;34;1;20.0;48.0;33.0;-2.0;-4.0;-1.0
8;22;50;34;1;20.0;48.0;34.0;-2.0;-2.0;0.0
9;22;51;35;1;20.0;48.0;34.0;-2.0;-3.0;-1.0
10;21;51;33;1;20.0;48.0;34.0;-1.0;-3.0;1.0
11;20;50;34;1;21.0;48.0;34.0;1.0;-2.0;0.0
12;21;49;33;1;21.0;49.0;34.0;0.0;0.0;1.0
13;21;49;33;1;21.0;49.0;34.0;0.0;0.0;1.0
14;20;51;35;1;21.0;49.0;34.0;1.0;-2.0;-1.0
15;18;49;34;1;21.0;49.0;34.0;3.0;0.0;0.0
16;19;48;34;1;21.0;49.0;34.0;2.0;1.0;0.0
17;16;53;34;1;21.0;49.0;35.0;5.0;-4.0;1.0
18;18;52;35;1;21.0;49.0;35.0;3.0;-3.0;0.0
19;18;51;32;1;21.0;49.0;35.0;3.0;-2.0;3.0
20;19;50;33;1;21.0;49.0;35.0;2.0;-1.0;2.0
21;19;53;33;1;21.0;49.0;35.0;2.0;-4.0;2.0
22;21;50;33;1;22.0;49.0;35.0;1.0;-1.0;2.0
23;21;51;33;1;22.0;49.0;35.0;1.0;-2.0;2.0
24;24;51;34;1;22.0;49.0;35.0;-2.0;-2.0;1.0
25;25;50;35;1;22.0;50.0;35.0;-3.0;0.0;0.0
26;25;51;36;1;22.0;50.0;36.0;-3.0;-1.0;0.0
27;25;50;38;1;22.0;50.0;36.0;-3.0;0.0;-2.0
28;25;51;39;1;22.0;50.0;36.0;-3.0;-1.0;-3.0
29;26;49;40;1;22.0;50.0;36.0;-4.0;1.0;-4.0
30;25;49;41;1;22.0;50.0;36.0;-3.0;1.0;-5.0
31;25;47;42;1;22.0;50.0;37.0;-3.0;3.0;-5.0
32;22;45;41;1;22.0;50.0;37.0;0.0;5.0;-4.0
33;21;48;41;1;22.0;50.0;37.0;1.0;2.0;-4.0
34;21;48;43;1;22.0;50.0;37.0;1.0;2.0;-6.0
35;21;47;41;1;22.0;50.0;37.0;1.0;3.0;-4.0
36;22;47;41;1;22.0;50.0;37.0;0.0;3.0;-4.0
37;21;47;42;1;22.0;50.0;37.0;1.0;3.0;-5.0
38;22;47;42;1;22.0;50.0;37.0;0.0;3.0;-5.0
39;22;47;42;1;22.0;50.0;37.0;0.0;3.0;-5.0
40;24;48;42;1;22.0;50.0;37.0;-2.0;2.0;-5.0
41;20;49;41;1;22.0;50.0;37.0;2.0;1.0;-4.0
42;22;49;40;1;22.0;50.0;38.0;0.0;1.0;-2.0
43;24;47;38;1;22.0;50.0;38.0;-2.0;3.0;0.0
44;22;49;37;1;22.0;50.0;38.0;0.0;1.0;1.0
45;24;49;36;1;22.0;50.0;38.0;-2.0;1.0;2.0
46;24;50;36;1;22.0;50.0;38.0;-2.0;0.0;2.0
47;23;49;37;1;22.0;50.0;38.0;-1.0;1.0;1.0
48;24;50;37;1;22.0;50.0;38.0;-2.0;0.0;1.0
49;23;49;36;1;22.0;50.0;38.0;-1.0;1.0;2.0
50;23;52;36;1;22.0;50.0;38.0;-1.0;-2.0;2.0
51;23;51;37;1;22.0;50.0;38.0;-1.0;-1.0;1.0
52;23;50;37;1;23.0;50.0;38.0;0.0;0.0;1.0
53;24;50;38;1;23.0;50.0;38.0;-1.0;0.0;0.0
54;21;52;37;1;23.0;50.0;38.0;2.0;-2.0;1.0
55;22;51;38;1;23.0;50.0;38.0;1.0;-1.0;0.0
56;22;52;38;1;23.0;50.0;38.0;1.0;-2.0;0.0
57;24;52;39;1;23.0;50.0;38.0;-1.0;-2.0;-1.0
58;23;50;39;1;23.0;50.0;38.0;0.0;0.0;-1.0
59;22;50;39;1;23.0;50.0;38.0;1.0;0.0;-1.0
60;22;53;37;1;23.0;50.0;38.0;1.0;-3.0;1.0
61;23;51;39;1;23.0;50.0;38.0;0.0;-1.0;-1.0
62;23;50;39;1;23.0;50.0;38.0;0.0;0.0;-1.0
63;23;50;39;1;23.0;50.0;38.0;0.0;0.0;-1.0
64;22;50;38;1;23.0;50.0;38.0;1.0;0.0;0.0
65;22;50;37;1;23.0;50.0;38.0;1.0;0.0;1.0
66;23;49;38;1;23.0;50.0;38.0;0.0;1.0;0.0
67;23;50;38;1;23.0;50.0;38.0;0.0;0.0;0.0
68;23;49;37;1;23.0;50.0;38.0;0.0;1.0;1.0
69;22;51;38;1;23.0;50.0;38.0;1.0;-1.0;0.0
70;22;51;38;1;23.0;50.0;38.0;1.0;-1.0;0.0
71;22;50;38;1;23.0;50.0;38.0;1.0;0.0;0.0
72;22;49;38;1;23.0;50.0;38.0;1.0;1.0;0.0
73;23;49;37;1;23.0;50.0;38.0;0.0;1.0;1.0
74;22;50;37;1;23.0;50.0;38.0;1.0;0.0;1.0
75;22;49;38;1;23.0;50.0;38.0;1.0;1.0;0.0
76;22;49;38;1;23.0;50.0;38.0;1.0;1.0;0.0
77;23;52;38;1;23.0;50.0;38.0;0.0;-2.0;0.0
78;23;51;39;1;23.0;50.0;38.0;0.0;-1.0;-1.0
79;22;50;38;1;23.0;50.0;38.0;1.0;0.0;0.0
80;23;49;38;1;23.0;50.0;38.0;0.0;1.0;0.0
81;23;49;38;1;23.0;50.0;38.0;0.0;1.0;0.0
82;22;51;38;1;23.0;50.0;38.0;1.0;-1.0;0.0
83;23;50;38;1;23.0;50.0;38.0;0.0;0.0;0.0
84;23;50;38;1;23.0;50.0;38.0;0.0;0.0;0.0
85;23;50;37;1;23.0;50.0;38.0;0.0;0.0;1.0
86;22;49;38;1;23.0;50.0;38.0;1.0;1.0;0.0
