feature_1;feature_2;Label
845753;636607;1
812954;643720;1
868217;609046;1
920248;607272;1
841621;639394;1
843907;598777;1
817712;620917;1
865980;632292;1
876539;639944;1
805247;642901;1
829227;565484;1
834679;669557;1
851242;630615;1
890325;702688;1
832159;638667;1
833736;637738;1
778784;571492;1
844489;672382;1
825802;638894;1
875471;622426;1
879225;639387;1
819482;633447;1
818212;633262;1
839324;651033;1
817439;678071;1
876202;600942;1
841025;623927;1
850781;619234;1
754610;657392;1
842733;640979;1
881538;613492;1
804685;671123;1
877083;575129;1
847312;655073;1
827558;623170;1
896258;707205;1
829939;644422;1
880719;597439;1
828313;669762;1
778978;589645;1
832323;624353;1
838906;655174;1
913673;576755;1
875535;587227;1
797487;625675;1
893942;596033;1
770410;662419;1
814804;605047;1
832215;638387;1
840280;643770;1
833327;621905;1
763542;635170;1
825599;608689;1
813209;683512;1
938544;680392;1
834393;656902;1
787129;643393;1
801229;617139;1
886144;566002;1
865073;661021;1
796962;632416;1
822877;612926;1
835985;639514;1
908901;628142;1
807989;610817;1
823816;651852;1
818245;618659;1
827601;640196;1
846830;641704;1
829041;623258;1
858850;714281;1
835967;564514;1
835698;660461;1
843223;632872;1
880916;697241;1
813541;641007;1
913911;586519;1
707529;693451;1
846436;659041;1
865316;690133;1
842837;647272;1
856101;601665;1
822815;616988;1
823364;620870;1
817697;617678;1
822368;648690;1
855476;711703;1
818065;675114;1
843822;686283;1
834396;637625;1
802367;626026;1
774481;694664;1
805075;559992;1
828813;622656;1
841088;641913;1
736868;591803;1
812519;658809;1
847097;610257;1
880136;670834;1
871566;663124;1
835178;647851;1
801113;631728;1
836302;641336;1
865563;600752;1
856184;670732;1
930906;675380;1
787684;612023;1
879210;671905;1
940080;668730;1
812951;619690;1
782647;635710;1
834146;634536;1
825334;626399;1
827880;657944;1
806472;625818;1
813142;634900;1
834478;637224;1
859522;666389;1
812822;650842;1
927475;652500;1
830057;593423;1
852554;687005;1
755212;616702;1
825515;636212;1
841978;583774;1
828956;617518;1
851077;623381;1
847787;616365;1
781111;594759;1
793474;650770;1
849922;659848;1
857555;592525;1
851042;620360;1
801896;668379;1
798422;689889;1
802904;649859;1
833844;679629;1
844117;650340;1
750522;621023;1
835324;635252;1
805810;620656;1
826540;709657;1
821335;650998;1
844114;619755;1
799854;605921;1
835851;659073;1
850049;594729;1
901514;652113;1
826740;617100;1
864116;598962;1
830754;656445;1
816172;642632;1
875320;588946;1
836090;553666;1
944095;704540;1
